"organism","project_home","project","n_samples","study_title","study_abstract"
"human","data_sources/sra","ERP116722",53,"Dual RNA-seq of peripheral blood from Gambian children with severe or uncomplicated Plasmodium falciparum malaria","This study examined the differences in human and parasite gene expression pattern between children with severe malaria and those with uncomplicated malaria through a dual RNA-seq approach. Peripheral blood samples were collected which contained substantial numbers of parasites that required no RNA enrichment prior to library preparation and sequencing."
"human","data_sources/sra","SRP102922",168,"RNA-seq analysis of MCT8-deficient and healthy control brain microvascular endothelial cells (BMECs) and neural cells","MCT8-deficient, healthy control and mutated/corrected isogenic iPSCs were differentiated into brain microvascular endothelial cells and neural cells. Neural cells were cultured with or without T3. Overall design: MCT8-deficient and healthy control iPSCs were differentiated into brain microvascular endothelial cells for 8 days and purified based on metrix preferences then total RNA was extracted. In addition, MCT8-deficient and healthy control mixed neural cells were differentiated in the presence or abscence of T3 for 32 days, then total RNA was extracted."
"human","data_sources/sra","ERP109922",681,"Single-cell RNA-seq of dermal fibroblasts (5 human individuals - IFNB stimulation)","Single-cell RNA-seq of human dermal fibroblasts, stimulated with IFNB 1000 IU for 2 or 6 hours, and profiled using the SmartSeq2 protocol."
"human","data_sources/sra","SRP164655",56,"The EN1 transcription factor drives neural features and brain metastases in triple negative breats cancer (TNBC)","To define transcriptional dependencies of TNBCs, we identified transcription factors highly and specifically expressed in primary TNBCs and tested their requirement for cell growth in a panel of breast cancer cell lines. We found that EN1 is overexpressed in TNBCs and its downregulation preferentially and significantly reduces cellular viability and tumorigenicity in TNBC cell lines. Based on RNA-seq and ChIPseq we found that EN1 regulates genes involved in angiogenesis, neurogenesis, and axon guidance in breast cancer cells. Higher expression of EN1 correlates with shorter overall survival among TNBC patients and with higher risk of developing brain metastases. Thus, EN1 is a prognostic marker and a therapeutic target in this particularly lethal subset of TNBCs. Overall design: Bulk RNA-Seq: Gene expression analysis of SUM149 and SUM159 cell lines with TET-inducible shRNA against EN1 with the following variables: Two different shRNA labeled shEN1-1 and shEN1-2, doxycyclin (plus/treatment) and no doxycyclin (minus/control), 3 days and 5 days after doxycyclin treatment. All conditions were sequenced in biological duplicates (32 samples). For the MCF7 cellline samples, differential gene expression analysis was performed with inducible overexpression of EN1 with the following variables:  doxycyclin (plus/treatment) and no doxycyclin (minus/control). All conditions were sequenced in biological duplicates (4 samples). ChIP-Seq: ChIP-Seq for exogenously expressed V5-tagged EN1 in SUM149, SUM159 and MCF7. ChIP-Seq for histone H3 lysine 27 acetyl (H3K27ac) in SUM149 and SUM159. ChIP-Seq for the transcription factor FOXA1 in MCF7 cells of both LacZ condition and EN1-expressing condition. ChIP-Seq for the transcription factor Beta-catenin in MCF7 cells of both LacZ condition and EN1-expressing condition, and in SUM149 with and without EN1 knockdown. ChIP-Seq for TLE3 in MCF7 cells of both LacZ condition and EN1-expressing condition, and in SUM149 and SUM159 with and without EN1 knockdown."
"human","data_sources/sra","SRP144355",143,"Predicting age from the transcriptome of human dermal fibroblasts","There is a marked heterogeneity in human lifespan and health outcomes for people of the same chronological age. Thus, one fundamental challenge is to identify molecular and cellular biomarkers of aging that could predict lifespan and be useful in evaluating lifestyle changes and therapeutic strategies in the pursuit of healthy aging. Here, we developed a computational method to predict biological age from gene expression data in skin fibroblast cells using an ensemble of machine learning classifiers. We generated an extensive RNA-seq dataset of fibroblast cell lines derived from 133 healthy individuals whose ages range from 1 to 94 years, and 10 patients with Hutchinson-Gilford Progeria Syndrome (HGPS), a premature aging disease. On this dataset, our method predicted chronological age with a median error of 4 years, outperforming algorithms proposed by prior studies that predicted age from DNA methylation [4–8] and gene expression data [6,9] for fibroblasts. Importantly, our method consistently predicted higher ages for Progeria patients compared to age-matched controls, suggesting that our algorithm can identify accelerated aging in humans. These results show that the transcriptome of skin fibroblasts retains important age-related signatures. Our computational tool may also be applicable to predicting age from other genome-wide datasets. Overall design: Single end stranded RNA-Seq"
"human","data_sources/sra","SRP126155",72,"Homo sapiens","Nasal epithelial cells were exposed to air, cigarette smoke, and heated tobacco aerosols. The RNA was extracted and sequenced to compare the transcriptional response of the aerosol treatments vs air ctl."
"human","data_sources/sra","SRP093655",58,"Exosomal short RNA sequencing experiments","The characterization of extracellular vesicular RNA (EV RNA) derived from nine cell types demonstrated the diversity of cell type specific RNA biotypes. A large proportion of these cell type specific RNAs are denoted by their processing into shorter versions of their full length structures as they function with the cells of origin.   specific portions of annotated pre-miRNA, tRNA, YRNA and other RNAs within EVs.  Our results also establish the cell state specific dynamicity in EV RNA distributions, qualifying one of the important aspects of communication. In addition, the study highlights both the temporal dynamics and spatial localization of intact EV RNA after transfer into a recipient cell, and their ability to elicit a wide range of transcriptional changes within them. We also demonstrated the cell type specificity in response from two different cell types, when exposed to the same EV RNA stimuli, underscoring the context dependent interpretation of the complex EV RNA message. In doing so, we shed light on a novel and under-appreciated medium of non-cell autonomous regulation of gene expression, through which cells in a complex multicellular organism may shape the transcriptional landscape of other cells and achieve synchronized functioning of involved cells in response to a certain micro-environment at the system level. Overall design: Exosomal short RNA sequencing experiments"
"human","data_sources/sra","SRP113755",77,"Transcriptome characterization of radiation-induced sarcomas",NA
"human","data_sources/sra","SRP028155",73,"Transcriptomic analysis of ERR alpha orphan nuclear receptor","Determination of the genes regulated by ERRalpha nuclear receptor in MDA-MB231 cells Overall design: MDA-MB231 cells were inactivated for ERRalpha using siRNA. Three different siRNAs were used (siE1, siE2, siE3). Cells treated with a control siRNA (siC samples) were used for comparison. Duplicate samples were analyzed. Transcriptomic analysis was performed by RNA-Seq"
"human","data_sources/sra","SRP163355",70,"RNA-Seq analysis of human lens epithelial cells exposed to ionizing radiation","Purpose: The International Commission on Radiological Protection (ICRP) recently recommended reducing the occupational equivalent dose limit for the lens of the eye.  Based primarily on a review of epidemiological data, the absorbed dose threshold is now considered to be 0.5 Gy for induction of acute opacities, reduced from the previous threshold of 2 Gy.    However, direct mechanistic evidence to support an understanding of the underlying molecular mechanisms of damage is still lacking. To this end, we explored the effects of a broad dose-range of ionizing radiation exposure on gene expression changes in a human lens epithelial (HLE) cell-line in order to better understand the shape of the dose-response relationship and identify transcriptional thresholds of effects. Methods: HLE cells were exposed to doses of 0, 0.01, 0.05, 0.25, 0.5, 2, and 5 Gy of X-ray radiation at two dose rates (1.62 cGy/min and 38.2 cGy/min).  Cell culture lysates were collected 20 h post-exposure and analysed using whole-genome RNA-sequencing.  Pathways and dose-thresholds of biological effects were identified using benchmark dose (BMD) modeling. Results: Transcriptional responses were minimal at doses less than 2 Gy. At higher doses there were a significant number of differentially expressed genes (DEGs) (p < 0.05, fold change > |1.5|) at both dose rates, with 1308 DEGs for the low dose rate (LDR) and 840 DEGs for the high dose rate (HDR) exposure. Dose-response modeling showed that a number of genes exhibited non-linear bi-phasic responses, which was verified by digital droplet PCR.    BMD analysis showed the majority of the pathways responded at BMD median values in the dose range of 1.5-2.5 Gy, with the lowest BMD median value being 0.6 Gy for the HDR exposure. The minimum pathway BMD median value for LDR exposure, however, was 2.5 Gy. Although the LDR and HDR exposures shared pathways involved in extracellular matrix reorganization and collagen production with BMD median value of 2.9 Gy, HDR exposures were more effective in activating pathways associated with DNA damage response, apoptosis, and cell cycling relative to LDR exposure. Conclusion: Overall, the results suggest that radiation induces complex non-linear transcriptional dose-response relationships that are dose-rate dependent. Pathways shared between the two dose rates may be important contributors to radiation-induced cataractogenesis. BMD analysis suggests that the majority of pathways are activated above 0.6 Gy, which supports current ICRP identified dose thresholds for deterministic effects to the lens of the eye of 0.5 Gy. Overall design: HLE cells were exposed to doses of 0, 0.01, 0.05, 0.25, 0.5, 2, and 5 Gy of X-ray radiation at two dose rates (1.62 cGy/min and 38.2 cGy/min). Cell culture lysates were collected 20 h post-exposure and analysed using whole-genome RNA-sequencing."
"human","data_sources/sra","SRP181855",80,"3'Pool-seq: an optimized cost-efficient and scalable method of whole-transcriptome gene expression profiling (Glitazone)","The advent of Next Generation Sequencing has allowed transcriptomes to be profiled with unprecedented accuracy, but the steep costs associated with full-length library sequencing have posed a limit on the accessibility and scalability of the technology. To address these limitations, we developed 3'Pool-seq, a simple, cost-effective, and scalable RNA-seq method that focuses sequencing to the 3' end of mRNA transcripts. Overall design: Transcriptomes (4 replicates each) from HepG2 Cells treated with Troglitazone, Pioglitazone, or Vehicle (DMSO) for 2 or 16 hours post-plating were compared to those that were left Untreated, and Differential Genes were determined using 3'Pool-seq."
"human","data_sources/sra","ERP109255",69,"RNA-seq of hepatic biopsies taken from patients with chronic liver disease presenting with different aetiologies (HCV, FLD) and fibrosis stages.","To determine gene signatures associated with advanced liver fibrosis, we undertook RNA-sequencing of liver biopsies from patients presenting with different aetiologies (HCV or FLD) and fibrosis stages (n=69 patients)."
"human","data_sources/sra","SRP032455",68,"RNA-Seq analysis of human adult peripheral blood populations","Generate transcriptomic atlas of healthy peripheral blood subpopulations Overall design: RNA-Seq performed on sorted granulocytes, monocytes, B-cells, T-cells, total WBC, CD34+ cells Leucegene Project, IRIC"
"human","data_sources/sra","SRP060355",94,"Transcriptomic variation of pharmacogenes in multiple human tissues and lymphoblastoid cell lines","Variation in the expression level and activity of genes involved in drug disposition and action (“pharmacogenes”) can affect drug response and toxicity, especially when in tissues of pharmacological importance.  Previous studies have relied primarily on microarrays to understand gene expression differences, or have focused on a single tissue or small number of samples. The goal of this study was to use RNA-seq to determine the expression levels and alternative splicing of 389 PGRN pharmacogenes across four tissues (liver, kidney, heart and adipose) and lymphoblastoid cell lines (LCLs), which are used widely in pharmacogenomics studies. Analysis of RNA-seq data from different individuals across the 5 tissues (N = 139 samples) revealed substantial variation in both expression levels and splicing across samples and tissue types. This in-depth exploration also revealed 183 splicing events in pharmacogenes that were previously not annotated.  Overall, this study serves as a rich resource for the research community to inform biomarker and drug discovery and use. Overall design: mRNA profile of 389 genes in 24 liver, 20 kidney (cortex), 25 heart (left ventricle), 25 adipose (subcutaneous) samples, and 45 lymphoblastoid cell lines (LCLs). The raw data for the LCL Samples will be available through dbGap under phs000481."
"human","data_sources/sra","SRP212755",501,"Blood extracellular vesicle long RNA sequencing of human blood from pancreatic ductal adenocarcinoma (PDAC), chronic pancreatitis (CP) and healthy individuals","Blood samples were collected from all participants in 10-mL EDTA-coated Vacutainer tubes. Plasma was separated by centrifugation at 3,000 rpm for 10 min at room temperature (25°C) within 2 h after blood collection and then centrifuged at 13,000 rpm for 10 min at 4°C to remove debris. Isolated plasma samples were stored at -80°C until use. EV RNA were isolated by affinity-based binding to spin columns using an exoRNeasy Serum/Plasma kit (Qiagen, Hilden, Germany). RNA libraries were prepared for sequencing using SMARTer® Stranded Total RNA-Seq Kit - Pico Input Mammalian. RNA-seq was performed  by the Illumina sequencing platform on a 150-bp paired-end run. Overall design: Blood extracellular vesicle long RNA profiles of human plasma by deep sequencing using Illumina Hiseq."
"human","data_sources/sra","SRP185955",75,"RNA editing with CRISPR-Cas13",NA
"human","data_sources/sra","SRP100928",96,"Lineage specific differentiation is influenced by state of human pluripotency [RNA-seq]","Human pluripotent stem cells (hPSCs) have been reported in naïve and primed states. However, the ability of human PSCs to generate mature cell types is the only imperative property for translational utility. Here, we reveal that the naïve state enhances self-renewal capacity while restricting lineage differentiation in vitro to neural default fate. Gene expression analyses indicate expression of multiple lineage associated transcripts in naïve hPSCs and thus failed to predict biased functional differentiation.  Naïve hPSCs can be converted to primed allowing recovery of multilineage differentiation over long serial passage or immediately through suppression of OCT4 but not NANOG. To this end, we identified chemical inhibitors of OCT4 expression that acutely restore naïve hPSC differentiation. Our study identifies unique cell fate features and critical restrictions in human pluripotent states, and provides an approach to overcome these barriers that harness both efficient naïve hPSC growth whilst maintaining in vitro differentiation capacities essential for hPSC applications. Overall design: hPSC lines were transduced with shRNA lentiviruses in order to assess the effects of reducing NANOG and OCT4 gene expression on differention in the naïve state.  shRNA expressing cells were sorted and then total RNA was extracted in order to perform transcriptome profiling by RNA-seq. Each experimental condition involves 2 technical replicates of 2 biological replicates (2 tech X 2 biol = 4 reads)."
"human","data_sources/sra","SRP014428",88,"Full-length mRNA-Seq from single-cell levels of RNA and individual circulating tumor cells","We assessed Smart-Seq, a new single-cell RNA-Seq library preparation method, on a variety of mouse and human RNA samples or cells. Overall design: We generated RNA-Seq libraries for dilution series of MAQC reference RNA and mouse brain RNA to assess technical reproducibility, and for a variety of individual cells including putative circulating tumour cells."
"human","data_sources/sra","SRP108128",51,"Homo sapiens Raw sequence reads","Pediatric versus adult dilated cardiomyopathy"
"human","data_sources/sra","SRP042228",322,"Core Ileal Transcriptome in Pediatric Crohn Disease","We report the global pattern of ileal gene expression in a cohort of 359 treatment-naïve pediatric Crohn Disease, Ulcerative Colitis patients and controls. We focus on genes with consistent altered expression in inflamed and unaffected ileum of CD [ileal-involved CD (iCD) and non-invloved ileal CD (cCD)], but not in the ileum of ulcerative colitis or control. Overall design: Ileal biopsies were obtained during diagnostic colonoscopies of children and adolescents aged less than 17 years, who presented with IBD-like symptoms. All patients underwent baseline colonoscopy and histological characterization; non-IBD controls were those with suspected IBD, but with no microscopic or macroscopic inflammation and normal radiographic, endoscopic, and histologic findings. Biopsies were stored at -80 degrees."
"human","data_sources/gtex","ADIPOSE_TISSUE",1293,"GTEx v8 data for tissue: adipose tissue","The Genotype-Tissue Expression (GTEx) project is an ongoing effort to build a comprehensive public resource to study tissue-specific gene expression and regulation. Samples were collected from 54 non-diseased tissue sites across nearly 1000 individuals, primarily for molecular assays including WGS, WES, and RNA-Seq. Remaining samples are available from the GTEx Biobank. The GTEx Portal provides open access to data including gene expression, QTLs, and histology images. Check <https://gtexportal.org/> for more information on the GTEx project."
"human","data_sources/gtex","MUSCLE",881,"GTEx v8 data for tissue: muscle","The Genotype-Tissue Expression (GTEx) project is an ongoing effort to build a comprehensive public resource to study tissue-specific gene expression and regulation. Samples were collected from 54 non-diseased tissue sites across nearly 1000 individuals, primarily for molecular assays including WGS, WES, and RNA-Seq. Remaining samples are available from the GTEx Biobank. The GTEx Portal provides open access to data including gene expression, QTLs, and histology images. Check <https://gtexportal.org/> for more information on the GTEx project."
"human","data_sources/gtex","BLOOD_VESSEL",1398,"GTEx v8 data for tissue: blood vessel","The Genotype-Tissue Expression (GTEx) project is an ongoing effort to build a comprehensive public resource to study tissue-specific gene expression and regulation. Samples were collected from 54 non-diseased tissue sites across nearly 1000 individuals, primarily for molecular assays including WGS, WES, and RNA-Seq. Remaining samples are available from the GTEx Biobank. The GTEx Portal provides open access to data including gene expression, QTLs, and histology images. Check <https://gtexportal.org/> for more information on the GTEx project."
"human","data_sources/gtex","HEART",942,"GTEx v8 data for tissue: heart","The Genotype-Tissue Expression (GTEx) project is an ongoing effort to build a comprehensive public resource to study tissue-specific gene expression and regulation. Samples were collected from 54 non-diseased tissue sites across nearly 1000 individuals, primarily for molecular assays including WGS, WES, and RNA-Seq. Remaining samples are available from the GTEx Biobank. The GTEx Portal provides open access to data including gene expression, QTLs, and histology images. Check <https://gtexportal.org/> for more information on the GTEx project."
"human","data_sources/gtex","OVARY",195,"GTEx v8 data for tissue: ovary","The Genotype-Tissue Expression (GTEx) project is an ongoing effort to build a comprehensive public resource to study tissue-specific gene expression and regulation. Samples were collected from 54 non-diseased tissue sites across nearly 1000 individuals, primarily for molecular assays including WGS, WES, and RNA-Seq. Remaining samples are available from the GTEx Biobank. The GTEx Portal provides open access to data including gene expression, QTLs, and histology images. Check <https://gtexportal.org/> for more information on the GTEx project."
"human","data_sources/gtex","UTERUS",159,"GTEx v8 data for tissue: uterus","The Genotype-Tissue Expression (GTEx) project is an ongoing effort to build a comprehensive public resource to study tissue-specific gene expression and regulation. Samples were collected from 54 non-diseased tissue sites across nearly 1000 individuals, primarily for molecular assays including WGS, WES, and RNA-Seq. Remaining samples are available from the GTEx Biobank. The GTEx Portal provides open access to data including gene expression, QTLs, and histology images. Check <https://gtexportal.org/> for more information on the GTEx project."
"human","data_sources/gtex","VAGINA",173,"GTEx v8 data for tissue: vagina","The Genotype-Tissue Expression (GTEx) project is an ongoing effort to build a comprehensive public resource to study tissue-specific gene expression and regulation. Samples were collected from 54 non-diseased tissue sites across nearly 1000 individuals, primarily for molecular assays including WGS, WES, and RNA-Seq. Remaining samples are available from the GTEx Biobank. The GTEx Portal provides open access to data including gene expression, QTLs, and histology images. Check <https://gtexportal.org/> for more information on the GTEx project."
"human","data_sources/gtex","BREAST",482,"GTEx v8 data for tissue: breast","The Genotype-Tissue Expression (GTEx) project is an ongoing effort to build a comprehensive public resource to study tissue-specific gene expression and regulation. Samples were collected from 54 non-diseased tissue sites across nearly 1000 individuals, primarily for molecular assays including WGS, WES, and RNA-Seq. Remaining samples are available from the GTEx Biobank. The GTEx Portal provides open access to data including gene expression, QTLs, and histology images. Check <https://gtexportal.org/> for more information on the GTEx project."
"human","data_sources/gtex","SKIN",1940,"GTEx v8 data for tissue: skin","The Genotype-Tissue Expression (GTEx) project is an ongoing effort to build a comprehensive public resource to study tissue-specific gene expression and regulation. Samples were collected from 54 non-diseased tissue sites across nearly 1000 individuals, primarily for molecular assays including WGS, WES, and RNA-Seq. Remaining samples are available from the GTEx Biobank. The GTEx Portal provides open access to data including gene expression, QTLs, and histology images. Check <https://gtexportal.org/> for more information on the GTEx project."
"human","data_sources/gtex","SALIVARY_GLAND",178,"GTEx v8 data for tissue: salivary gland","The Genotype-Tissue Expression (GTEx) project is an ongoing effort to build a comprehensive public resource to study tissue-specific gene expression and regulation. Samples were collected from 54 non-diseased tissue sites across nearly 1000 individuals, primarily for molecular assays including WGS, WES, and RNA-Seq. Remaining samples are available from the GTEx Biobank. The GTEx Portal provides open access to data including gene expression, QTLs, and histology images. Check <https://gtexportal.org/> for more information on the GTEx project."
"human","data_sources/gtex","BRAIN",2931,"GTEx v8 data for tissue: brain","The Genotype-Tissue Expression (GTEx) project is an ongoing effort to build a comprehensive public resource to study tissue-specific gene expression and regulation. Samples were collected from 54 non-diseased tissue sites across nearly 1000 individuals, primarily for molecular assays including WGS, WES, and RNA-Seq. Remaining samples are available from the GTEx Biobank. The GTEx Portal provides open access to data including gene expression, QTLs, and histology images. Check <https://gtexportal.org/> for more information on the GTEx project."
"human","data_sources/gtex","ADRENAL_GLAND",274,"GTEx v8 data for tissue: adrenal gland","The Genotype-Tissue Expression (GTEx) project is an ongoing effort to build a comprehensive public resource to study tissue-specific gene expression and regulation. Samples were collected from 54 non-diseased tissue sites across nearly 1000 individuals, primarily for molecular assays including WGS, WES, and RNA-Seq. Remaining samples are available from the GTEx Biobank. The GTEx Portal provides open access to data including gene expression, QTLs, and histology images. Check <https://gtexportal.org/> for more information on the GTEx project."
"human","data_sources/gtex","THYROID",706,"GTEx v8 data for tissue: thyroid","The Genotype-Tissue Expression (GTEx) project is an ongoing effort to build a comprehensive public resource to study tissue-specific gene expression and regulation. Samples were collected from 54 non-diseased tissue sites across nearly 1000 individuals, primarily for molecular assays including WGS, WES, and RNA-Seq. Remaining samples are available from the GTEx Biobank. The GTEx Portal provides open access to data including gene expression, QTLs, and histology images. Check <https://gtexportal.org/> for more information on the GTEx project."
"human","data_sources/gtex","LUNG",655,"GTEx v8 data for tissue: lung","The Genotype-Tissue Expression (GTEx) project is an ongoing effort to build a comprehensive public resource to study tissue-specific gene expression and regulation. Samples were collected from 54 non-diseased tissue sites across nearly 1000 individuals, primarily for molecular assays including WGS, WES, and RNA-Seq. Remaining samples are available from the GTEx Biobank. The GTEx Portal provides open access to data including gene expression, QTLs, and histology images. Check <https://gtexportal.org/> for more information on the GTEx project."
"human","data_sources/gtex","SPLEEN",255,"GTEx v8 data for tissue: spleen","The Genotype-Tissue Expression (GTEx) project is an ongoing effort to build a comprehensive public resource to study tissue-specific gene expression and regulation. Samples were collected from 54 non-diseased tissue sites across nearly 1000 individuals, primarily for molecular assays including WGS, WES, and RNA-Seq. Remaining samples are available from the GTEx Biobank. The GTEx Portal provides open access to data including gene expression, QTLs, and histology images. Check <https://gtexportal.org/> for more information on the GTEx project."
"human","data_sources/gtex","PANCREAS",360,"GTEx v8 data for tissue: pancreas","The Genotype-Tissue Expression (GTEx) project is an ongoing effort to build a comprehensive public resource to study tissue-specific gene expression and regulation. Samples were collected from 54 non-diseased tissue sites across nearly 1000 individuals, primarily for molecular assays including WGS, WES, and RNA-Seq. Remaining samples are available from the GTEx Biobank. The GTEx Portal provides open access to data including gene expression, QTLs, and histology images. Check <https://gtexportal.org/> for more information on the GTEx project."
"human","data_sources/gtex","ESOPHAGUS",1577,"GTEx v8 data for tissue: esophagus","The Genotype-Tissue Expression (GTEx) project is an ongoing effort to build a comprehensive public resource to study tissue-specific gene expression and regulation. Samples were collected from 54 non-diseased tissue sites across nearly 1000 individuals, primarily for molecular assays including WGS, WES, and RNA-Seq. Remaining samples are available from the GTEx Biobank. The GTEx Portal provides open access to data including gene expression, QTLs, and histology images. Check <https://gtexportal.org/> for more information on the GTEx project."
"human","data_sources/gtex","STOMACH",384,"GTEx v8 data for tissue: stomach","The Genotype-Tissue Expression (GTEx) project is an ongoing effort to build a comprehensive public resource to study tissue-specific gene expression and regulation. Samples were collected from 54 non-diseased tissue sites across nearly 1000 individuals, primarily for molecular assays including WGS, WES, and RNA-Seq. Remaining samples are available from the GTEx Biobank. The GTEx Portal provides open access to data including gene expression, QTLs, and histology images. Check <https://gtexportal.org/> for more information on the GTEx project."
"human","data_sources/gtex","COLON",822,"GTEx v8 data for tissue: colon","The Genotype-Tissue Expression (GTEx) project is an ongoing effort to build a comprehensive public resource to study tissue-specific gene expression and regulation. Samples were collected from 54 non-diseased tissue sites across nearly 1000 individuals, primarily for molecular assays including WGS, WES, and RNA-Seq. Remaining samples are available from the GTEx Biobank. The GTEx Portal provides open access to data including gene expression, QTLs, and histology images. Check <https://gtexportal.org/> for more information on the GTEx project."
"human","data_sources/gtex","SMALL_INTESTINE",193,"GTEx v8 data for tissue: small intestine","The Genotype-Tissue Expression (GTEx) project is an ongoing effort to build a comprehensive public resource to study tissue-specific gene expression and regulation. Samples were collected from 54 non-diseased tissue sites across nearly 1000 individuals, primarily for molecular assays including WGS, WES, and RNA-Seq. Remaining samples are available from the GTEx Biobank. The GTEx Portal provides open access to data including gene expression, QTLs, and histology images. Check <https://gtexportal.org/> for more information on the GTEx project."
"human","data_sources/gtex","PROSTATE",263,"GTEx v8 data for tissue: prostate","The Genotype-Tissue Expression (GTEx) project is an ongoing effort to build a comprehensive public resource to study tissue-specific gene expression and regulation. Samples were collected from 54 non-diseased tissue sites across nearly 1000 individuals, primarily for molecular assays including WGS, WES, and RNA-Seq. Remaining samples are available from the GTEx Biobank. The GTEx Portal provides open access to data including gene expression, QTLs, and histology images. Check <https://gtexportal.org/> for more information on the GTEx project."
"human","data_sources/gtex","TESTIS",410,"GTEx v8 data for tissue: testis","The Genotype-Tissue Expression (GTEx) project is an ongoing effort to build a comprehensive public resource to study tissue-specific gene expression and regulation. Samples were collected from 54 non-diseased tissue sites across nearly 1000 individuals, primarily for molecular assays including WGS, WES, and RNA-Seq. Remaining samples are available from the GTEx Biobank. The GTEx Portal provides open access to data including gene expression, QTLs, and histology images. Check <https://gtexportal.org/> for more information on the GTEx project."
"human","data_sources/gtex","NERVE",659,"GTEx v8 data for tissue: nerve","The Genotype-Tissue Expression (GTEx) project is an ongoing effort to build a comprehensive public resource to study tissue-specific gene expression and regulation. Samples were collected from 54 non-diseased tissue sites across nearly 1000 individuals, primarily for molecular assays including WGS, WES, and RNA-Seq. Remaining samples are available from the GTEx Biobank. The GTEx Portal provides open access to data including gene expression, QTLs, and histology images. Check <https://gtexportal.org/> for more information on the GTEx project."
"human","data_sources/gtex","PITUITARY",301,"GTEx v8 data for tissue: pituitary","The Genotype-Tissue Expression (GTEx) project is an ongoing effort to build a comprehensive public resource to study tissue-specific gene expression and regulation. Samples were collected from 54 non-diseased tissue sites across nearly 1000 individuals, primarily for molecular assays including WGS, WES, and RNA-Seq. Remaining samples are available from the GTEx Biobank. The GTEx Portal provides open access to data including gene expression, QTLs, and histology images. Check <https://gtexportal.org/> for more information on the GTEx project."
"human","data_sources/gtex","BLOOD",1048,"GTEx v8 data for tissue: blood","The Genotype-Tissue Expression (GTEx) project is an ongoing effort to build a comprehensive public resource to study tissue-specific gene expression and regulation. Samples were collected from 54 non-diseased tissue sites across nearly 1000 individuals, primarily for molecular assays including WGS, WES, and RNA-Seq. Remaining samples are available from the GTEx Biobank. The GTEx Portal provides open access to data including gene expression, QTLs, and histology images. Check <https://gtexportal.org/> for more information on the GTEx project."
"human","data_sources/gtex","LIVER",251,"GTEx v8 data for tissue: liver","The Genotype-Tissue Expression (GTEx) project is an ongoing effort to build a comprehensive public resource to study tissue-specific gene expression and regulation. Samples were collected from 54 non-diseased tissue sites across nearly 1000 individuals, primarily for molecular assays including WGS, WES, and RNA-Seq. Remaining samples are available from the GTEx Biobank. The GTEx Portal provides open access to data including gene expression, QTLs, and histology images. Check <https://gtexportal.org/> for more information on the GTEx project."
"human","data_sources/gtex","KIDNEY",98,"GTEx v8 data for tissue: kidney","The Genotype-Tissue Expression (GTEx) project is an ongoing effort to build a comprehensive public resource to study tissue-specific gene expression and regulation. Samples were collected from 54 non-diseased tissue sites across nearly 1000 individuals, primarily for molecular assays including WGS, WES, and RNA-Seq. Remaining samples are available from the GTEx Biobank. The GTEx Portal provides open access to data including gene expression, QTLs, and histology images. Check <https://gtexportal.org/> for more information on the GTEx project."
"human","data_sources/gtex","STUDY_NA",133,"GTEx v8 data for tissue: study na","The Genotype-Tissue Expression (GTEx) project is an ongoing effort to build a comprehensive public resource to study tissue-specific gene expression and regulation. Samples were collected from 54 non-diseased tissue sites across nearly 1000 individuals, primarily for molecular assays including WGS, WES, and RNA-Seq. Remaining samples are available from the GTEx Biobank. The GTEx Portal provides open access to data including gene expression, QTLs, and histology images. Check <https://gtexportal.org/> for more information on the GTEx project."
"human","data_sources/gtex","BONE_MARROW",204,"GTEx v8 data for tissue: bone marrow","The Genotype-Tissue Expression (GTEx) project is an ongoing effort to build a comprehensive public resource to study tissue-specific gene expression and regulation. Samples were collected from 54 non-diseased tissue sites across nearly 1000 individuals, primarily for molecular assays including WGS, WES, and RNA-Seq. Remaining samples are available from the GTEx Biobank. The GTEx Portal provides open access to data including gene expression, QTLs, and histology images. Check <https://gtexportal.org/> for more information on the GTEx project."
"human","data_sources/tcga","ACC",79,"TCGA data for tissue: ACC","The Cancer Genome Atlas (TCGA), a landmark cancer genomics program, molecularly characterized over 20,000 primary cancer and matched normal samples spanning 33 cancer types. This joint effort between the National Cancer Institute and the National Human Genome Research Institute began in 2006, bringing together researchers from diverse disciplines and multiple institutions. Check <https://www.cancer.gov/about-nci/organization/ccg/research/structural-genomics/tcga> for more information on the TCGA project."
"human","data_sources/tcga","BLCA",433,"TCGA data for tissue: BLCA","The Cancer Genome Atlas (TCGA), a landmark cancer genomics program, molecularly characterized over 20,000 primary cancer and matched normal samples spanning 33 cancer types. This joint effort between the National Cancer Institute and the National Human Genome Research Institute began in 2006, bringing together researchers from diverse disciplines and multiple institutions. Check <https://www.cancer.gov/about-nci/organization/ccg/research/structural-genomics/tcga> for more information on the TCGA project."
"human","data_sources/tcga","BRCA",1256,"TCGA data for tissue: BRCA","The Cancer Genome Atlas (TCGA), a landmark cancer genomics program, molecularly characterized over 20,000 primary cancer and matched normal samples spanning 33 cancer types. This joint effort between the National Cancer Institute and the National Human Genome Research Institute began in 2006, bringing together researchers from diverse disciplines and multiple institutions. Check <https://www.cancer.gov/about-nci/organization/ccg/research/structural-genomics/tcga> for more information on the TCGA project."
